Words,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Charged
march,0,0,0,0,0,0,1,0,0,0,1
august,0,0,0,0,0,0,1,0,0,0,1
ago,0,0,0,0,0,0,0,0,0,0,0
mar,0,0,0,0,0,1,0,0,0,0,1
vie,0,0,0,0,0,0,0,0,0,0,0
sun,0,1,0,0,1,0,1,0,1,1,1
wed,0,0,0,0,0,0,0,0,0,0,0
aback,0,0,0,0,0,0,0,0,0,0,0
abacus,0,0,0,0,0,0,0,0,0,1,1
abandon,0,0,0,1,0,1,0,1,0,0,1
abandoned,1,0,0,1,0,1,0,1,0,0,1
abandonment,1,0,0,1,0,1,0,1,1,0,1
abate,0,0,0,0,0,0,0,0,0,0,0
abatement,0,0,0,0,0,0,0,0,0,0,0
abba,0,0,0,0,0,0,1,0,0,0,1
abbot,0,0,0,0,0,0,0,0,0,1,1
abbreviate,0,0,0,0,0,0,0,0,0,0,0
abbreviation,0,0,0,0,0,0,0,0,0,0,0
abdomen,0,0,0,0,0,0,0,0,0,0,0
abdominal,0,0,0,0,0,0,0,0,0,0,0
abduction,0,0,0,1,0,1,0,1,1,0,1
aberrant,0,0,0,0,0,1,0,0,0,0,1
aberration,0,0,1,0,0,1,0,0,0,0,1
abeyance,0,0,0,0,0,0,0,0,0,0,0
abhor,1,0,1,1,0,1,0,0,0,0,1
abhorrent,1,0,1,1,0,1,0,0,0,0,1
abide,0,0,0,0,0,0,0,0,0,0,0
ability,0,0,0,0,0,0,1,0,0,0,1
abject,0,0,1,0,0,1,0,0,0,0,1
ablation,0,0,0,0,0,0,0,0,0,0,0
ablaze,0,0,0,0,0,0,0,0,0,0,0
abnormal,0,0,1,0,0,1,0,0,0,0,1
aboard,0,0,0,0,0,0,0,0,0,0,0
abode,0,0,0,0,0,0,0,0,0,0,0
abolish,1,0,0,0,0,1,0,0,0,0,1
abolition,0,0,0,0,0,1,0,0,0,0,1
abominable,0,0,1,1,0,1,0,0,0,0,1
abomination,1,0,1,1,0,1,0,0,0,0,1
aboriginal,0,0,0,0,0,0,0,0,0,0,0
abort,0,0,0,0,0,1,0,0,0,0,1
abortion,0,0,1,1,0,1,0,1,0,0,1
abortive,0,0,0,0,0,1,0,1,0,0,1
abound,0,0,0,0,0,0,0,0,0,0,0
abovementioned,0,0,0,0,0,0,1,0,0,0,1
abrasion,0,0,0,0,0,1,0,0,0,0,1
abroad,0,0,0,0,0,0,0,0,0,0,0
abrogate,0,0,0,0,0,1,0,0,0,0,1
abrupt,0,0,0,0,0,0,0,0,1,0,1
abruptly,0,0,0,0,0,0,0,0,0,0,0
abscess,0,0,0,0,0,1,0,1,0,0,1
absence,0,0,0,1,0,1,0,1,0,0,1
absent,0,0,0,0,0,1,0,1,0,0,1
absentee,0,0,0,0,0,1,0,1,0,0,1
absenteeism,0,0,0,0,0,1,0,0,0,0,1
absinthe,0,0,0,0,0,0,0,0,0,0,0
absolute,0,0,0,0,0,0,1,0,0,0,1
absolution,0,0,0,0,1,0,1,0,0,1,1
absorbed,0,0,0,0,0,0,1,0,0,0,1
absorbent,0,0,0,0,0,0,0,0,0,0,0
absorbing,0,0,0,0,0,0,0,0,0,0,0
absorption,0,0,0,0,0,0,0,0,0,0,0
abstain,0,0,0,0,0,0,0,0,0,0,0
abstention,0,0,0,0,0,0,0,0,0,0,0
abstinence,0,0,0,0,0,0,0,0,0,0,0
abstract,0,0,0,0,0,0,0,0,0,0,0
abstraction,0,0,0,0,0,0,0,0,0,0,0
absurd,0,0,0,0,0,1,0,0,0,0,1
absurdity,0,0,0,0,0,1,0,0,0,0,1
abundance,0,1,1,0,1,1,1,0,0,1,1
abundant,0,0,0,0,1,0,1,0,0,0,1
abuse,1,0,1,1,0,1,0,1,0,0,1
abutment,0,0,0,0,0,0,0,0,0,0,0
aby,0,0,0,0,0,0,0,0,0,0,0
abysmal,0,0,0,0,0,1,0,1,0,0,1
abyss,0,0,0,1,0,1,0,1,0,0,1
academic,0,0,0,0,0,0,1,0,0,1,1
academy,0,0,0,0,0,0,1,0,0,0,1
accede,0,0,0,0,0,0,0,0,0,0,0
accelerate,0,1,0,0,0,0,0,0,0,0,1
acceleration,0,0,0,0,0,0,0,0,0,0,0
accent,0,0,0,0,0,0,0,0,0,0,0
accentuate,0,0,0,0,0,0,0,0,0,0,0
accept,0,0,0,0,0,0,0,0,0,0,0
acceptable,0,0,0,0,0,0,1,0,0,0,1
acceptance,0,0,0,0,0,0,1,0,0,0,1
access,0,0,0,0,0,0,0,0,0,0,0
accessible,0,0,0,0,0,0,1,0,0,0,1
accession,0,0,0,0,0,0,0,0,0,0,0
accessory,0,0,0,0,0,0,0,0,0,0,0
accident,0,0,0,1,0,1,0,1,1,0,1
accidental,0,0,0,1,0,1,0,0,1,0,1
accidentally,0,0,0,0,0,0,0,0,1,0,1
accolade,0,1,0,0,1,0,1,0,1,1,1
accommodate,0,0,0,0,0,0,0,0,0,0,0
accommodation,0,0,0,0,0,0,1,0,0,0,1
accompaniment,0,1,0,0,1,0,1,0,0,1,1
accompany,0,0,0,0,0,0,0,0,0,0,0
accompanying,0,0,0,0,0,0,0,0,0,0,0
accomplice,0,0,0,0,0,0,0,0,0,0,0
accomplish,0,0,0,0,1,0,1,0,0,0,1
accomplished,0,0,0,0,1,0,1,0,0,0,1
accomplishment,0,0,0,0,0,0,1,0,0,0,1
accord,0,0,0,0,0,0,1,0,0,1,1
accordance,0,0,0,0,0,0,0,0,0,0,0
accordion,0,0,0,0,0,0,0,0,0,0,0
account,0,0,0,0,0,0,0,0,0,1,1
accountability,0,0,0,0,0,0,1,0,0,1,1
accountable,0,0,0,0,0,0,1,0,0,1,1
accountant,0,0,0,0,0,0,0,0,0,1,1
accounting,0,0,0,0,0,0,0,0,0,0,0
accounts,0,0,0,0,0,0,0,0,0,1,1
accredited,0,0,0,0,0,0,1,0,0,1,1
accretion,0,0,0,0,0,0,0,0,0,0,0
accrue,0,0,0,0,0,0,0,0,0,0,0
accueil,0,0,0,0,0,0,1,0,0,0,1
accumulate,0,0,0,0,0,0,0,0,0,0,0
accumulation,0,0,0,0,0,0,0,0,0,0,0
accuracy,0,0,0,0,0,0,0,0,0,0,0
accurate,0,0,0,0,0,0,1,0,0,1,1
accursed,1,0,0,1,0,1,0,1,0,0,1
accusation,1,0,1,0,0,1,0,0,0,0,1
accusative,0,0,0,0,0,1,0,0,0,0,1
accused,1,0,0,1,0,1,0,0,0,0,1
accuser,1,0,0,1,0,1,0,0,0,0,1
accusing,1,0,0,1,0,1,0,0,0,0,1
accustomed,0,0,0,0,0,0,0,0,0,0,0
ace,0,0,0,0,0,0,1,0,0,0,1
